,index,TIPREG,DTPREG,CODBDI,CODNEG,TPMERC,NOMRES,ESPECI,PRAZOT,MODREF,PREABE,PREMAX,PREMIN,PREMED,PREULT,PREOFC,PREOFV,TOTNEG,QUATOT,VOLTOT,PREEXE,INDOPC,DATVEN,FATCOT,PTOEXE,CODISI,DISMES,ANOPREG
0,51,1,20150102,2,AMZO34,10,AMAZON,DRN,,R$,415,62000000004,17460000000,4156200000,41646000,417460,4125,0,41886000020000,130000,541,4,10000000,0,9999,123100000010,0,2015
1,1471,1,20150105,2,AMZO34,10,AMAZON,DRN,,R$,414,4,14000000000,4121500000,41245000,412150,4078,50000,41600000020000,180000,742,4,25000000,0,9999,123100000010,0,2015
2,3011,1,20150106,2,AMZO34,10,AMAZON,DRN,,R$,402,67000000004,2670000000,3962400000,40106000,396240,3922,70000,40020000030000,40000,160,4,25000000,0,9999,123100000010,0,2015
3,4671,1,20150107,2,AMZO34,10,AMAZON,DRN,,R$,403,68000000004,3680000000,4036800000,40368000,403680,4015,0,40965000020000,40000,161,4,72000000,0,9999,123100000010,0,2015
4,6350,1,20150108,2,AMZO34,10,AMAZON,DRN,,R$,405,39000000004,8650000000,4035700000,40656000,403570,4013,0,40760000030000,40000,162,6,26000000,0,9999,123100000010,0,2015
5,7958,1,20150109,2,AMZO34,10,AMAZON,DRN,,R$,395,28000000003,95280000000,3952800000,39528000,395280,3911,0,39781000010000,10000,39,5,28000000,0,9999,123100000010,0,2015
6,9535,1,20150112,2,AMZO34,10,AMAZON,DRN,,R$,389,78000000003,89780000000,3885800000,38890000,388580,3862,50000,39284000030000,110000,427,7,98000000,0,9999,123100000010,0,2015
7,11125,1,20150113,2,AMZO34,10,AMAZON,DRN,,R$,391,11000000003,91110000000,3911100000,39111000,391110,3871,50000,39422000020000,40000,156,4,44000000,0,9999,123100000010,0,2015
8,12730,1,20150114,2,AMZO34,10,AMAZON,DRN,,R$,378,35000000003,78350000000,3771700000,37752000,377170,3757,50000,38218000020000,100000,377,5,24000000,0,9999,123100000010,0,2015
9,14429,1,20150115,2,AMZO34,10,AMAZON,DRN,,R$,384,80000000003,84800000000,3799400000,38252000,381100,3777,0,38352000030000,70000,267,7,64000000,0,9999,123100000010,0,2015
10,16125,1,20150116,2,AMZO34,10,AMAZON,DRN,,R$,377,87000000003,79520000000,3778700000,37910000,379520,3767,50000,38400000020000,40000,151,6,43000000,0,9999,123100000010,0,2015
11,19520,1,20150120,2,AMZO34,10,AMAZON,DRN,,R$,380,85000000003,80850000000,3769000000,38021000,379090,3754,0,38255000030000,180000,684,3,88000000,0,9999,123100000010,0,2015
12,21071,1,20150121,2,AMZO34,10,AMAZON,DRN,,R$,387,58000000003,87580000000,3875800000,38758000,387580,3843,50000,39150000010000,20000,77,5,16000000,0,9999,123100000010,0,2015
13,22635,1,20150122,2,AMZO34,10,AMAZON,DRN,,R$,397,80000000003,97800000000,3968800000,39764000,397620,3943,0,40093000040000,200000,795,2,88000000,0,9999,123100000010,0,2015
14,24156,1,20150123,2,AMZO34,10,AMAZON,DRN,,R$,411,90000000004,11900000000,4063400000,41110000,406340,4054,50000,41250000020000,70000,287,7,74000000,0,9999,123100000010,0,2015
15,27003,1,20150127,2,AMZO34,10,AMAZON,DRN,,R$,394,47000000003,95070000000,3944700000,39487000,395070,3942,50000,39947000020000,30000,118,4,61000000,0,9999,123100000010,0,2015
16,30044,1,20150129,2,AMZO34,10,AMAZON,DRN,,R$,397,50000000003,97500000000,3975000000,39750000,397500,3967,0,40280000010000,10000,39,7,50000000,0,9999,123100000010,0,2015
17,31608,1,20150130,2,AMZO34,10,AMAZON,DRN,,R$,434,75000000004,79650000000,4347500000,47590000,479650,4796,50000,48585000070000,230000,1094,5,90000000,0,9999,123100000010,0,2015
18,33241,1,20150202,2,AMZO34,10,AMAZON,DRN,,R$,487,17000000004,87170000000,4871700000,48717000,487170,4878,0,49510000010000,40000,194,8,68000000,0,9999,123100000010,0,2015
19,34857,1,20150203,2,AMZO34,10,AMAZON,DRN,,R$,490,77000000004,90770000000,4907700000,49077000,490770,4856,50000,49285000010000,10000,49,0,77000000,0,9999,123100000010,0,2015
20,36638,1,20150204,2,AMZO34,10,AMAZON,DRN,,R$,504,10000000005,4100000000,5041000000,50410000,504100,5002,0,50718000010000,90000,453,6,90000000,0,9999,123100000010,0,2015
21,40009,1,20150206,2,AMZO34,10,AMAZON,DRN,,R$,517,21000000005,17210000000,5172100000,51721000,517210,5146,50000,52200000010000,380000,1965,3,98000000,0,9999,123100000010,0,2015
22,41661,1,20150209,2,AMZO34,10,AMAZON,DRN,,R$,515,38000000005,15380000000,5153800000,51538000,515380,5124,0,51975000020000,110000,566,9,18000000,0,9999,123100000010,0,2015
23,43552,1,20150210,2,AMZO34,10,AMAZON,DRN,,R$,528,50000000005,28500000000,5240000000,52725000,528000,5249,0,53170000040000,40000,210,9,0,0,9999,123100000010,0,2015
24,45058,1,20150211,2,AMZO34,10,AMAZON,DRN,,R$,536,12000000005,36120000000,5361200000,53612000,536120,5363,0,54285000010000,80000,428,8,96000000,0,9999,123100000010,0,2015
25,46654,1,20150212,2,AMZO34,10,AMAZON,DRN,,R$,535,47000000005,35470000000,5313800000,53347000,531380,5312,50000,53855000030000,60000,320,0,83000000,0,9999,123100000010,0,2015
26,48243,1,20150213,2,AMZO34,10,AMAZON,DRN,,R$,545,80000000005,45800000000,5435400000,54467000,543540,5364,50000,54390000020000,20000,108,9,34000000,0,9999,123100000010,0,2015
27,49933,1,20150218,2,AMZO34,10,AMAZON,DRN,,R$,534,6000000005,34060000000,5340600000,53406000,534060,5294,0,53690000010000,10000,53,4,6000000,0,9999,123100000010,0,2015
28,51512,1,20150219,2,AMZO34,10,AMAZON,DRN,,R$,545,5,45000000000,5450000000,54500000,545000,5426,50000,54990000010000,10000,54,5,0,0,9999,123100000010,0,2015
29,53048,1,20150220,2,AMZO34,10,AMAZON,DRN,,R$,546,89000000005,46890000000,5468900000,54689000,546890,5481,50000,55545000010000,100000,546,8,90000000,0,9999,123100000010,0,2015
30,54569,1,20150223,2,AMZO34,10,AMAZON,DRN,,R$,550,50000000005,50500000000,5464000000,55022000,546400,5428,50000,55010000020000,150000,825,3,40000000,0,9999,123100000010,0,2015
31,56033,1,20150224,2,AMZO34,10,AMAZON,DRN,,R$,537,70000000005,39600000000,5377000000,53833000,539600,5337,0,54095000020000,30000,161,5,0,0,9999,123100000010,0,2015
32,62139,1,20150302,2,AMZO34,10,AMAZON,DRN,,R$,542,58000000005,57230000000,5425800000,54289000,557230,5555,50000,56285000020000,470000,2551,5,91000000,0,9999,123100000010,0,2015
33,63604,1,20150303,2,AMZO34,10,AMAZON,DRN,,R$,558,70000000005,58700000000,5587000000,55870000,558700,5594,0,56665000010000,20000,111,7,40000000,0,9999,123100000010,0,2015
34,68438,1,20150306,2,AMZO34,10,AMAZON,DRN,,R$,583,40000000005,83400000000,5834000000,58340000,583400,5773,50000,58470000010000,10000,58,3,40000000,0,9999,123100000010,0,2015
35,71836,1,20150310,2,AMZO34,10,AMAZON,DRN,,R$,575,25000000005,75250000000,5752500000,57525000,575250,5713,50000,57880000010000,10000,57,5,25000000,0,9999,123100000010,0,2015
36,73659,1,20150311,2,AMZO34,10,AMAZON,DRN,,R$,585,60000000005,85600000000,5780000000,58433000,578000,5710,0,57835000020000,60000,350,6,0,0,9999,123100000010,0,2015
