,index,TIPREG,DTPREG,CODBDI,CODNEG,TPMERC,NOMRES,ESPECI,PRAZOT,MODREF,PREABE,PREMAX,PREMIN,PREMED,PREULT,PREOFC,PREOFV,TOTNEG,QUATOT,VOLTOT,PREEXE,INDOPC,DATVEN,FATCOT,PTOEXE,CODISI,DISMES,ANOPREG
0,131,1,20150102,2,BBDC4,10,BRADESCO,PN  EJ  N1,,R$,34,75000000000,35490000000,341300000,3465000,34300,343,0,3432172360000,780190000,270353,2,96000000,0,9999,123100000010,0,2015
1,1539,1,20150105,2,BBDC4,10,BRADESCO,PN  EJ  N1,,R$,33,71000000000,34770000000,333100000,3414000,34350,343,10000,3435238440000,773160000,263966,6,90000000,0,9999,123100000010,0,2015
2,3080,1,20150106,2,BBDC4,10,BRADESCO,PN  EJ  N1,,R$,34,37000000000,35480000000,341400000,3485000,35480,352,80000,3548179660000,996260000,347310,8,46000000,0,9999,123100000010,0,2015
3,4745,1,20150107,2,BBDC4,10,BRADESCO,PN  EJ  N1,,R$,35,94000000000,37300000000,356200000,3680000,36890,368,50000,3689298610000,1061700000,390734,7,22000000,0,9999,123100000010,0,2015
4,6411,1,20150108,2,BBDC4,10,BRADESCO,PN  EJ  N1,,R$,37,0,37410000000,363000000,3696000,37080,370,30000,3708167340000,582960000,215516,0,23000000,0,9999,123100000010,0,2015
5,8023,1,20150109,2,BBDC4,10,BRADESCO,PN  EJ  N1,,R$,36,72000000000,36930000000,352800000,3576000,35470,354,70000,3555155250000,637140000,227840,4,98000000,0,9999,123100000010,0,2015
6,9604,1,20150112,2,BBDC4,10,BRADESCO,PN  EJ  N1,,R$,35,20000000000,35630000000,346000000,3487000,34840,348,30000,3489133860000,631630000,220260,5,85000000,0,9999,123100000010,0,2015
7,11196,1,20150113,2,BBDC4,10,BRADESCO,PN  EJ  N1,,R$,35,10000000000,35930000000,349500000,3537000,34950,349,40000,3495195900000,813230000,287655,9,17000000,0,9999,123100000010,0,2015
8,12802,1,20150114,2,BBDC4,10,BRADESCO,PN  EJ  N1,,R$,34,50000000000,35850000000,343500000,3535000,35320,353,20000,3533224420000,731030000,258517,6,84000000,0,9999,123100000010,0,2015
9,14513,1,20150115,2,BBDC4,10,BRADESCO,PN      N1,,R$,35,39000000000,36310000000,349600000,3566000,34960,349,60000,3510207360000,997920000,355897,7,69000000,0,9999,123100000010,0,2015
