,index,TIPREG,DTPREG,CODBDI,CODNEG,TPMERC,NOMRES,ESPECI,PRAZOT,MODREF,PREABE,PREMAX,PREMIN,PREMED,PREULT,PREOFC,PREOFV,TOTNEG,QUATOT,VOLTOT,PREEXE,INDOPC,DATVEN,FATCOT,PTOEXE,CODISI,DISMES,ANOPREG
0,164605,1,20160509,2,GOGL35,10,ALPHABET,DRN,,R$,100,45000000001,450000000,1004500000,10045000,100450,988,70000,10074000030000,6600000,6629,7,0,0,9999,123100000010,0,2016
1,170402,1,20160512,2,GOGL35,10,ALPHABET,DRN,,R$,98,96000000000,98960000000,989600000,9896000,98960,974,70000,9943000010000,120000,118,7,52000000,0,9999,123100000010,0,2016
2,172451,1,20160513,2,GOGL35,10,ALPHABET,DRN,,R$,99,68000000000,99680000000,996800000,9968000,99680,0,0,10000,200000,199,3,60000000,0,9999,123100000010,0,2016
3,176724,1,20160517,2,GOGL35,10,ALPHABET,DRN,,R$,99,61000000000,99610000000,980700000,9957000,98070,973,50000,9911000020000,2070000,2061,1,57000000,0,9999,123100000010,0,2016
4,178475,1,20160518,2,GOGL35,10,ALPHABET,DRN,,R$,99,63000000000,99630000000,996300000,9963000,99630,995,10000,10129000010000,50000,49,8,15000000,0,9999,123100000010,0,2016
5,183711,1,20160523,2,GOGL35,10,ALPHABET,DRN,,R$,100,87000000001,870000000,1008700000,10087000,100870,997,90000,10153000010000,1530000,1543,3,11000000,0,9999,123100000010,0,2016
6,187236,1,20160525,2,GOGL35,10,ALPHABET,DRN,,R$,104,9000000001,4090000000,1040900000,10409000,104090,1040,90000,10488000020000,160000,166,5,44000000,0,9999,123100000010,0,2016
7,192016,1,20160531,2,GOGL35,10,ALPHABET,DRN,,R$,106,5000000001,6050000000,1060500000,10605000,106050,1051,10000,10698000010000,1510000,1601,3,55000000,0,9999,123100000010,0,2016
8,197163,1,20160603,2,GOGL35,10,ALPHABET,DRN,,R$,102,33000000001,2330000000,1023300000,10233000,102330,1007,10000,10246000010000,20000,20,4,66000000,0,9999,123100000010,0,2016
9,198929,1,20160606,2,GOGL35,10,ALPHABET,DRN,,R$,99,61000000000,99610000000,996100000,9961000,99610,990,20000,10074000010000,10000,9,9,61000000,0,9999,123100000010,0,2016
10,207597,1,20160613,2,GOGL35,10,ALPHABET,DRN,,R$,99,93000000000,99930000000,999300000,9993000,99930,990,70000,10079000010000,70000,69,9,51000000,0,9999,123100000010,0,2016
11,217289,1,20160620,2,GOGL35,10,ALPHABET,DRN,,R$,94,45000000000,94450000000,944500000,9445000,94450,932,60000,9492000010000,200000,188,9,0,0,9999,123100000010,0,2016
