,index,TIPREG,DTPREG,CODBDI,CODNEG,TPMERC,NOMRES,ESPECI,PRAZOT,MODREF,PREABE,PREMAX,PREMIN,PREMED,PREULT,PREOFC,PREOFV,TOTNEG,QUATOT,VOLTOT,PREEXE,INDOPC,DATVEN,FATCOT,PTOEXE,CODISI,DISMES,ANOPREG
0,905,1,20150102,2,PETR4,10,PETROBRAS,PN,,R$,9,99000000000,9990000000,93600000,957000,9360,93,60000,940397380000,4883720000,467547,9,25000000,0,9999,123100000010,0,2015
1,2406,1,20150105,2,PETR4,10,PETROBRAS,PN,,R$,9,14000000000,9190000000,85800000,876000,8610,86,0,861909810000,7707730000,674783,8,84000000,0,9999,123100000010,0,2015
2,3976,1,20150106,2,PETR4,10,PETROBRAS,PN,,R$,8,71000000000,8830000000,80400000,841000,8330,83,20000,833772830000,8402340000,706839,8,84000000,0,9999,123100000010,0,2015
3,5700,1,20150107,2,PETR4,10,PETROBRAS,PN,,R$,8,56000000000,8730000000,83600000,857000,8670,86,70000,868853080000,8553100000,733268,9,24000000,0,9999,123100000010,0,2015
4,7292,1,20150108,2,PETR4,10,PETROBRAS,PN,,R$,8,79000000000,9390000000,87400000,911000,9180,91,70000,918866960000,8273570000,754338,6,35000000,0,9999,123100000010,0,2015
5,8889,1,20150109,2,PETR4,10,PETROBRAS,PN,,R$,9,20000000000,9400000000,89300000,912000,9400,94,0,941491790000,5041480000,460371,7,34000000,0,9999,123100000010,0,2015
6,10459,1,20150112,2,PETR4,10,PETROBRAS,PN,,R$,9,27000000000,9580000000,87900000,908000,8910,89,0,891607090000,5788160000,525535,8,58000000,0,9999,123100000010,0,2015
7,12057,1,20150113,2,PETR4,10,PETROBRAS,PN,,R$,8,90000000000,9390000000,88500000,917000,9000,90,0,903452170000,6401950000,587449,5,31000000,0,9999,123100000010,0,2015
8,13733,1,20150114,2,PETR4,10,PETROBRAS,PN,,R$,8,88000000000,8960000000,86400000,878000,8740,87,30000,874443810000,5515520000,484749,4,51000000,0,9999,123100000010,0,2015
9,15436,1,20150115,2,PETR4,10,PETROBRAS,PN,,R$,9,0,9390000000,88700000,922000,9340,93,40000,935535290000,8077100000,744859,8,29000000,0,9999,123100000010,0,2015
10,17123,1,20150116,2,PETR4,10,PETROBRAS,PN,,R$,9,46000000000,9630000000,92400000,949000,9440,94,40000,945481710000,5697830000,541099,8,47000000,0,9999,123100000010,0,2015
11,18879,1,20150119,2,PETR4,10,PETROBRAS,PN,,R$,9,35000000000,9540000000,91500000,935000,9190,91,80000,919294770000,3074560000,287447,3,57000000,0,9999,123100000010,0,2015
12,20459,1,20150120,2,PETR4,10,PETROBRAS,PN,,R$,9,60000000000,9850000000,91500000,953000,9320,93,10000,932409590000,7232670000,689619,2,44000000,0,9999,123100000010,0,2015
13,22023,1,20150121,2,PETR4,10,PETROBRAS,PN,,R$,9,45000000000,9830000000,93200000,965000,9820,98,10000,982348260000,4806990000,464161,4,70000000,0,9999,123100000010,0,2015
14,23566,1,20150122,2,PETR4,10,PETROBRAS,PN,,R$,10,10000000000,10460000000,99700000,1021000,10250,102,40000,1025603890000,7369920000,752888,1,45000000,0,9999,123100000010,0,2015
15,25005,1,20150123,2,PETR4,10,PETROBRAS,PN,,R$,10,11000000000,10410000000,98800000,1013000,10000,99,90000,1000316080000,4344080000,440341,3,74000000,0,9999,123100000010,0,2015
16,26447,1,20150126,2,PETR4,10,PETROBRAS,PN,,R$,9,79000000000,9970000000,96600000,985000,9910,99,0,991310500000,3297200000,324820,7,35000000,0,9999,123100000010,0,2015
17,27891,1,20150127,2,PETR4,10,PETROBRAS,PN,,R$,9,72000000000,10370000000,95300000,991000,10170,101,50000,1017499960000,5860090000,580955,8,79000000,0,9999,123100000010,0,2015
18,29423,1,20150128,2,PETR4,10,PETROBRAS,PN,,R$,9,43000000000,9540000000,89500000,920000,9030,90,30000,904802090000,10519990000,968034,3,66000000,0,9999,123100000010,0,2015
19,30954,1,20150129,2,PETR4,10,PETROBRAS,PN,,R$,9,5000000000,9080000000,83400000,865000,8750,87,30000,875922310000,11078030000,959150,5,67000000,0,9999,123100000010,0,2015
20,32597,1,20150130,2,PETR4,10,PETROBRAS,PN,,R$,8,20000000000,8340000000,80800000,819000,8180,81,80000,819944850000,8635740000,708284,0,84000000,0,9999,123100000010,0,2015
21,34215,1,20150202,2,PETR4,10,PETROBRAS,PN,,R$,8,46000000000,8680000000,81300000,844000,8660,86,60000,867517970000,5634860000,475908,1,57000000,0,9999,123100000010,0,2015
22,35891,1,20150203,2,PETR4,10,PETROBRAS,PN,,R$,9,1000000000,10000000000,90100000,952000,10000,99,90000,1000876470000,9688520000,923386,5,89000000,0,9999,123100000010,0,2015
23,37672,1,20150204,2,PETR4,10,PETROBRAS,PN,,R$,10,30000000000,10780000000,95600000,1018000,10020,100,20000,1003924850000,11759500000,1197789,6,6000000,0,9999,123100000010,0,2015
24,39330,1,20150205,2,PETR4,10,PETROBRAS,PN,,R$,9,86000000000,10290000000,97000000,1001000,9800,98,0,984606700000,7758440000,776934,6,82000000,0,9999,123100000010,0,2015
25,40983,1,20150206,2,PETR4,10,PETROBRAS,PN,,R$,9,80000000000,9810000000,88700000,916000,9120,91,20000,913111640000,11774710000,1078700,4,66000000,0,9999,123100000010,0,2015
26,42818,1,20150209,2,PETR4,10,PETROBRAS,PN,,R$,8,80000000000,9470000000,87200000,910000,9280,92,80000,929650030000,7151440000,651342,8,15000000,0,9999,123100000010,0,2015
