,index,TIPREG,DTPREG,CODBDI,CODNEG,TPMERC,NOMRES,ESPECI,PRAZOT,MODREF,PREABE,PREMAX,PREMIN,PREMED,PREULT,PREOFC,PREOFV,TOTNEG,QUATOT,VOLTOT,PREEXE,INDOPC,DATVEN,FATCOT,PTOEXE,CODISI,DISMES,ANOPREG
0,1377,1,20150102,2,VIVT4,10,TELEF BRASIL,PN  EJ,,R$,46,15000000000,47140000000,457900000,4632000,46260,461,10000,4626051370000,93480000,43307,9,65000000,0,9999,123100000010,0,2015
1,2929,1,20150105,2,VIVT4,10,TELEF BRASIL,PN  EJ,,R$,45,64000000000,46140000000,450300000,4575000,46080,458,0,4608061610000,99700000,45614,8,12000000,0,9999,123100000010,0,2015
2,4565,1,20150106,2,VIVT4,10,TELEF BRASIL,PN  EJ,,R$,45,85000000000,46210000000,452000000,4558000,45670,455,0,4567042990000,82240000,37485,7,27000000,0,9999,123100000010,0,2015
3,6254,1,20150107,2,VIVT4,10,TELEF BRASIL,PN  EJ,,R$,45,98000000000,47140000000,456900000,4651000,46520,465,20000,4675036170000,52490000,24415,2,26000000,0,9999,123100000010,0,2015
4,7866,1,20150108,2,VIVT4,10,TELEF BRASIL,PN  EJ,,R$,46,58000000000,47750000000,461500000,4687000,47000,468,80000,4700019270000,36010000,16878,5,85000000,0,9999,123100000010,0,2015
5,9437,1,20150109,2,VIVT4,10,TELEF BRASIL,PN  EJ,,R$,46,68000000000,46940000000,460000000,4634000,46100,461,0,4666026220000,43960000,20372,9,51000000,0,9999,123100000010,0,2015
6,11017,1,20150112,2,VIVT4,10,TELEF BRASIL,PN  EJ,,R$,45,72000000000,47080000000,455100000,4651000,46890,468,0,4690046930000,73650000,34259,8,0,0,9999,123100000010,0,2015
7,12636,1,20150113,2,VIVT4,10,TELEF BRASIL,PN  EJ,,R$,46,91000000000,48090000000,466500000,4761000,47800,478,0,4784054110000,94210000,44851,1,88000000,0,9999,123100000010,0,2015
8,14339,1,20150114,2,VIVT4,10,TELEF BRASIL,PN,,R$,47,4000000000,48970000000,470000000,4804000,47670,476,70000,4806050740000,83480000,40106,9,11000000,0,9999,123100000010,0,2015
9,16030,1,20150115,2,VIVT4,10,TELEF BRASIL,PN,,R$,47,82000000000,49630000000,476300000,4898000,48810,487,90000,4902058500000,117250000,57430,6,26000000,0,9999,123100000010,0,2015
10,17745,1,20150116,2,VIVT4,10,TELEF BRASIL,PN,,R$,48,81000000000,50680000000,488100000,4997000,49610,496,10000,4971074840000,109160000,54556,5,92000000,0,9999,123100000010,0,2015
11,19433,1,20150119,2,VIVT4,10,TELEF BRASIL,PN,,R$,49,30000000000,49950000000,487200000,4932000,49280,487,80000,4928033800000,47110000,23238,1,32000000,0,9999,123100000010,0,2015
12,20980,1,20150120,2,VIVT4,10,TELEF BRASIL,PN,,R$,50,12000000000,50740000000,496100000,5027000,50440,504,40000,5050040490000,87480000,43983,5,69000000,0,9999,123100000010,0,2015
